INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Код страны поставщика;УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;191426062;;Гоман К. Н.;107;Продавец;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191426062-2018-0000000036;;Исходный;Выставлен. Подписан получателем;28.02.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""1-с""";01.05.2015;Договор;;;;"""1-с""";01.05.2015;1393,35;0;278,67;1672,02
112;191426062;;Гоман К. Н.;107;Продавец;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191426062-2018-0000000037;;Исходный;Выставлен. Подписан получателем;28.02.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""1""";05.03.2015;Договор;;;;"""1""";05.03.2015;83,33;0;16,67;100
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800024134;;Исходный;Выставлен. Подписан получателем;07.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/28-02-2018""";28.02.2018;34,93;0;6,99;41,92
112;190759607;;"ООО ""Объединенные сети""";106;Продавец;Полякова Юлия Валерьевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190759607-2018-0000001170;;Исходный;Выставлен. Подписан получателем;02.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""179/17 ЛТЕ""";22.06.2017;Акт;;;;"""206""";28.02.2018;9,55;0;2,39;11,94
112;190726138;;"Государственное предприятие ""Центр Систем Идентификации""";107;Продавец;Дзагания Нина Тенгизовна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190726138-2018-0000008018;;Исходный;Выставлен. Подписан получателем;01.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭПТ 10-109-11/2017""";22.11.2017;Акт;;;;"""ЭПТ 10-109-11/2017""";28.02.2018;3,03;0;0,61;3,64
112;190726138;;"Государственное предприятие ""Центр Систем Идентификации""";107;Продавец;Дзагания Нина Тенгизовна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190726138-2018-0000008994;;Исходный;Выставлен. Подписан получателем;01.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ПМ50/01294/17""";23.04.2017;Акт;;;;"""ПМ50/01294/17""";28.02.2018;6,07;0;1,21;7,28
112;192287331;     ;"Торговое унитарное предприятие ""Проект Дилбай""";104;Продавец;Новицкая Марина Александровна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;192287331-2018-0000019953;;Исходный;Выставлен. Подписан получателем;03.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б\н""";28.02.2018;Акт;;;;"""122693-5""";28.02.2018;34,52;0;6,91;41,43
112;101528843;;"Унитарное предприятие ""Велком""";111;Продавец;Ярош Наталья Владимировна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;101528843-2018-9910147381;;Исходный;Выставлен. Подписан получателем;05.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""000200442507""";10.12.2014;Акт;;;;"""2018030395019986""";28.02.2018;383,87;0;95,97;479,84
112;100181973;;"ООО ""АНИТЭКС""";111;Продавец;Друченко Светлана Викторовна;112;691772248;;ХимПромОил ООО;107;Покупатель; ;100181973-2018-0000011739;;Исходный;Выставлен. Подписан получателем;06.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""298""";28.12.2015;Акт выполненных работ;;;;"""4733""";28.02.2018;84,2;0;21,05;105,25
112;192711139;;"Частное предприятие ""Пульс цен""";108;Продавец;Куликова Елена Григорьевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;192711139-2018-0000000494;;Исходный;Выставлен. Подписан получателем;06.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""Счет №ЧППЦ 251127/17""";19.01.2018;Акт;;;;"""ЧППЦ267514""";28.02.2018;101,54;0;20,31;121,85
112;100056364;     ;"Торговое коммунальное дочернее унитарное предприятие ""Белсельстройсервис""";606;Продавец;Ефремов Вадим Олегович;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;100056364-2018-0000000228;;Исходный;Выставлен. Подписан получателем;07.03.2018;28.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""01-У""";30.01.2018;Акт;;;;"""У-000097""";28.02.2018;125;0;25;150
112;190513391;;"СООО ""Автосеть""";233;Продавец;Куцык Елена Борисовна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190513391-2018-0000057279;;Исходный;Выставлен. Подписан получателем;06.03.2018;27.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""Счет №BF011920""";23.02.2018;ТТН-1;;402961;ЮФ;"""4401696""";27.02.2018;1579,15;0;315,84;1894,99
