INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Код страны поставщика;УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;800013732;;"Совместное общество с ограниченной ответственностью ""Мобильные ТелеСистемы""";107;Продавец;Щетко Дмитрий Николаевич;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;800013732-2018-1201222884;;Исходный;Выставлен. Подписан получателем;08.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""107316033119""";15.04.2016;Другое;Счёт-акт оказанных услуг;;;"""8775247177""";31.01.2018;5,7;0;1,43;7,13
112;800013732;;"Совместное общество с ограниченной ответственностью ""Мобильные ТелеСистемы""";107;Продавец;Щетко Дмитрий Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;800013732-2018-1201216944;;Исходный;Выставлен. Подписан получателем;08.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""107316615643""";05.12.2016;Другое;Счёт-акт оказанных услуг;;;"""8775645108""";31.01.2018;30;0;7,5;37,5
112;300042199;;"ОАО ""НАФТАН""";351;Продавец;Ефимов Андрей Евгеньевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;300042199-2018-0000007171;;Исходный;Выставлен. Подписан получателем;09.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""049/2.13.11786""";07.12.2017;Другое;;;;"""86""";31.01.2018;147,84;0;29,57;177,41
112;190604746;     ;"ЧУП ""Белтрансспутник"", РБ";108;Продавец;Абухович Татьяна Александровна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;190604746-2018-0000005492;;Исходный;Выставлен. Подписан получателем;09.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""7392-у""";26.05.2016;Акт;;;;"""2796""";31.01.2018;17,5;0;3,5;21
112;100847638;;"ООО ""МЕКУС""";105;Продавец;Саркисова Мария Александровна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;100847638-2018-0000000597;;Исходный;Выставлен. Подписан получателем;09.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""238/16""";16.09.2016;Акт выполненных работ;;;;"""0000000597""";31.01.2018;21,62;0;4,33;25,95
112;191426062;;Гоман К. Н.;107;Продавец;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191426062-2018-0000000030;;Исходный;Выставлен. Подписан получателем;12.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""1""";05.03.2015;600;;;;"""""";;83,33;0;16,67;100
112;190117474;;"УП ""ЖЭС МЖК""";107;Посредник;Волошина Галина Андреевна;112;691772248;;"ООО ""ХимПромОил""";107;Потребитель; ;190117474-2018-0000000197;;Исходный;Выставлен. Подписан получателем;14.02.2018;31.01.2018;21.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""№74""";01.01.2017;Счет-фактура;;;;"""144""";12.02.2018;88,32;0;17,66;105,98
112;191426062;;Гоман К. Н.;107;Посредник;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Потребитель; ;191426062-2018-0000000034;;Исходный;Выставлен. Подписан получателем;19.02.2018;31.01.2018;21.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""1""";05.03.2015;Счет-фактура;;;;"""1/2018""";19.02.2018;194,73;0;38,94;233,67
112;190117474;;"УП ""ЖЭС МЖК""";107;Посредник;Волошина Галина Андреевна;112;691772248;;"ООО ""ХимПромОил""";107;Потребитель; ;190117474-2018-0000000198;;Исходный;Выставлен. Подписан получателем;14.02.2018;31.01.2018;21.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""№74""";01.01.2017;Счет-фактура;;;;"""144""";12.02.2018;374,79;0;74,96;449,75
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Продавец;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800002335;;Исходный;Выставлен. Подписан получателем;07.02.2018;31.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-01-2018""";31.01.2018;449,56;0;89,94;539,5
112;192711139;;"Частное предприятие ""Пульс цен""";108;Продавец;Куликова Елена Григорьевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;192711139-2018-0000000414;;Исходный;Выставлен. Подписан получателем;07.02.2018;31.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""Счет №ЧППЦ 251127/18""";19.01.2018;Акт;;;;"""ЧППЦ259754""";31.01.2018;21,76;0;4,35;26,11
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800006253;;Исходный;Выставлен. Подписан получателем;07.02.2018;31.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-01-2018""";31.01.2018;1411,2;0;282,35;1693,55
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800007868;;Исходный;Выставлен. Подписан получателем;07.02.2018;31.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-01-2018""";31.01.2018;35,7;0;7,14;42,84
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800010904;;Исходный;Выставлен. Подписан получателем;07.02.2018;31.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-01-2018""";31.01.2018;25,8;0;5,16;30,96
112;192287331;     ;"Торговое унитарное предприятие ""Проект Дилбай""";104;Продавец;Новицкая Марина Александровна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;192287331-2018-0000013112;;Исходный;Выставлен. Подписан получателем;09.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""б\н""";31.01.2018;Акт;;;;"""122693-4""";31.01.2018;38,22;0;7,64;45,86
112;102302797;;"ФИЛИАЛ МГТС РУП ""БЕЛТЕЛЕКОМ""";104;Продавец;Ухтинская Светлана Сергеевна;112;691772248;     ;"ООО""ХИМПРОМОИЛ""";107;Покупатель; ;102302797-2018-9702021391;;Исходный;Выставлен. Подписан получателем;09.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""298""";28.12.2015;Счет-фактура;Счёт-фактура;;;"""1008824""";12.02.2018;22,97;0;5,75;28,72
112;101007741;;"РУП ""БЕЛТЕЛЕКОМ""";111;Продавец;Зеленина Диана Викторовна;112;691772248;     ;"ООО""ХИМПРОМОИЛ""";107;Покупатель; ;101007741-2018-9702016893;;Исходный;Выставлен. Подписан получателем;09.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""298""";28.12.2015;Счет-фактура;Счёт-фактура;;;"""1008824""";12.02.2018;94,25;0;23,56;117,81
112;190557843;;"СООО ""Интеллект-Лизинг""";106;Продавец;Фетисова Елена Александровна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190557843-2018-0000000674;;Исходный;Выставлен;09.02.2018;31.01.2018;;;"""""";;;"""""";;"""""";"""""";;;"""2074""";11.12.2017;Договор;Договор;;;"""2074""";11.12.2017;644,74;0;128,95;773,69
112;100287525;;Севкович А. И.;104;Продавец;Севкович Александр Иосифович;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;100287525-2018-0000000064;;Исходный;Аннулирован;08.02.2018;31.01.2018;;31.01.2018;"""""";;;"""""";;"""""";"""""";;;"""108""";11.01.2018;ТН-2;;401951;ЖБ;"""1263913""";31.01.2018;255;0;51;306
112;190726138;;"Государственное предприятие ""Центр Систем Идентификации""";107;Продавец;Дзагания Нина Тенгизовна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190726138-2018-0000004067;;Исходный;Выставлен. Подписан получателем;01.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭПТ 10-109-11/2017""";22.11.2017;Акт;;;;"""ЭПТ 10-109-11/2017""";31.01.2018;3,36;0;0,67;4,03
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800012310;;Исходный;Выставлен. Подписан получателем;07.02.2018;31.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-01-2018""";31.01.2018;43;0;8,6;51,6
112;690314876;     ;"РУП  ""Белоруснефть-Минскоблнефтепродукт""";606;Комиссионер;Ковалев Сергей Николаевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-1800011716;;Исходный;Выставлен. Подписан получателем;07.02.2018;31.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""5434""";06.11.2014;Другое;НТУ-АЗС;;;"""5434/31-01-2018""";31.01.2018;78,34;0;15,67;94,01
112;190117474;;"УП ""ЖЭС МЖК""";107;Продавец;Волошина Галина Андреевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190117474-2018-0000000134;;Исходный;Выставлен. Подписан получателем;01.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""№74""";01.01.2017;Счет-фактура;;;;"""89""";31.01.2018;34,47;0;6,89;41,36
112;300042199;;"ОАО ""НАФТАН""";351;Продавец;Ефимов Андрей Евгеньевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;300042199-2018-0000005617;;Исходный;Выставлен. Подписан получателем;07.02.2018;30.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""049/2.02.488""";17.01.2017;ТТН-1;;402962;ИА;"""0245216""";30.01.2018;5913,07;0;1182,61;7095,68
112;200180562;     ;"Общество с ограниченной ответственностью ""Белинвестторг""";271;Продавец;Юсковец Татьяна Васильевна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;200180562-2018-0000002409;;Исходный;Выставлен. Подписан получателем;08.02.2018;30.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""834/17М""";18.08.2017;ТН-2;ТН-2;401951;ЖС;"""1620865""";30.01.2018;90;0;18;108
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000132;;Исходный;Выставлен. Подписан получателем;06.02.2018;30.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7063004""";30.01.2018;698,28;0;139,66;837,94
112;190431542;;"РО ""Белагросервис""";107;Продавец;Соколовская Ольга Викторовна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190431542-2018-0000172673;;Исходный;Выставлен. Подписан получателем;07.02.2018;30.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""договор №13-3-5/32""";22.02.2017;ТН-2;;401951;ИХ;"""1427889""";30.01.2018;5917,25;0;591,73;6508,98
112;190063577;;"ООО ""Еврозапчасть""";109;Продавец;Шпиганович Ольга Григорьевна;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190063577-2018-1000069899;;Исходный;Выставлен. Подписан получателем;08.02.2018;29.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор поставки №б/н""";25.10.2017;ТН-2;ТН-2;401951;ЖС;"""1567676""";29.01.2018;13,4;0;2,68;16,08
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000128;;Исходный;Выставлен. Подписан получателем;06.02.2018;29.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7063003""";29.01.2018;1416,48;0;283,29;1699,77
112;100371574;;"ЗАО ""БелСнабПодшипник""";109;Продавец;Козлов Александр Фёдорович;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;100371574-2018-0021800200;;Исходный;Выставлен. Подписан получателем;06.02.2018;26.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""№ ГО(14)-346 """;31.05.2017;ТТН-1;;402961;ЭУ;"""4734488""";26.01.2018;319,66;0;63,94;383,6
112;191875572;;"Частное торговое унитарное предприятие ""Роса-смазочные материалы""";112;Продавец;Гуринович Евгений Фёдорович;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОйл""";107;Покупатель; ;191875572-2018-0000000124;;Исходный;Выставлен. Подписан получателем;05.02.2018;26.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""29/09/2014-041М""";29.09.2014;ТТН-1;ТТН-1;402961;ЮФ;"""5604935""";26.01.2018;2482,2;0;496,44;2978,64
112;191875572;;"Частное торговое унитарное предприятие ""Роса-смазочные материалы""";112;Продавец;Гуринович Евгений Фёдорович;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОйл""";107;Покупатель; ;191875572-2018-0000000131;;Исходный;Выставлен. Подписан получателем;05.02.2018;25.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""29/09/2014-041М""";29.09.2014;ТН-2;ТН-2;401951;ЖН;"""2091124""";25.01.2018;15883,98;0;3176,8;19060,78
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000113;;Исходный;Выставлен. Подписан получателем;06.02.2018;25.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7062931""";25.01.2018;1809,16;0;361,84;2171
112;192507971;;"Общество с ограниченной ответственностью ""Запас Прочности""";107;Продавец;Соболь Андрей Юрьевич;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;192507971-2018-0000000017;;Исходный;Выставлен. Подписан получателем;12.02.2018;25.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор №ВА69""";24.01.2018;ТТН-1;;402961;ЮФ;"""0025487""";25.01.2018;260;0;52;312
112;191875572;;"Частное торговое унитарное предприятие ""Роса-смазочные материалы""";112;Продавец;Гуринович Евгений Фёдорович;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОйл""";107;Покупатель; ;191875572-2018-0000000121;;Исходный;Выставлен. Подписан получателем;05.02.2018;25.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""29/09/2014-041М""";29.09.2014;ТТН-1;ТТН-1;402961;ЮФ;"""5604931""";25.01.2018;2836,8;0;567,36;3404,16
112;101223447;;"РУП ""Национальный центр маркетинга и конъюнктуры цен""";111;Продавец;Полевая Марина Владимировна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;101223447-2018-0000014802;;Исходный;Выставлен. Подписан получателем;29.01.2018;25.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭТП-2015-03-18397""";11.03.2015;Акт;;;;"""ЭТП-2018-18397/129467""";25.01.2018;14,17;0;2,83;17
112;101223447;;"РУП ""Национальный центр маркетинга и конъюнктуры цен""";111;Продавец;Негодько Татьяна Зеноновна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;101223447-2018-0000013964;;Исходный;Выставлен. Подписан получателем;29.01.2018;24.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭТП-2015-03-18397""";11.03.2015;Акт;;;;"""ЭТП-2018-18397/129766""";24.01.2018;14,17;0;2,83;17
112;190542056;;"ОАО ""Белорусская универсальная товарная биржа""";105;Продавец;Ахременко Денис Валерьевич;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190542056-2018-0000016719;;Исходный;Выставлен. Подписан получателем;08.02.2018;24.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""40620""";05.02.2016;Другое;Другое;;;"""O20180122153821""";24.01.2018;15;0;3;18
112;200180562;     ;"Общество с ограниченной ответственностью ""Белинвестторг""";271;Продавец;Юсковец Татьяна Васильевна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;200180562-2018-0000001960;;Исходный;Выставлен. Подписан получателем;30.01.2018;24.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""834/17М""";18.08.2017;ТН-2;ТН-2;401951;ЖС;"""1620977""";24.01.2018;440;0;88;528
112;200180562;     ;"Общество с ограниченной ответственностью ""Белинвестторг""";271;Продавец;Юсковец Татьяна Васильевна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;200180562-2018-0000001913;;Исходный;Выставлен. Подписан получателем;30.01.2018;24.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""834/17М""";18.08.2017;ТН-2;ТН-2;401951;ЖС;"""1620978""";24.01.2018;208,34;0;41,67;250,01
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000100;;Исходный;Выставлен. Подписан получателем;05.02.2018;23.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7062918""";23.01.2018;326,17;0;65,23;391,4
112;190063577;;"ООО ""Еврозапчасть""";109;Продавец;Шпиганович Ольга Григорьевна;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190063577-2018-1000055777;;Исходный;Выставлен. Подписан получателем;01.02.2018;22.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор поставки №б/н""";25.10.2017;ТТН-1;ТТН-1;402962;ие;"""0765969""";22.01.2018;52,15;0;10,43;62,58
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000095;;Исходный;Выставлен. Подписан получателем;05.02.2018;22.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;Электронная ТТН-1;Электронная ТТН-1;402961;ЮР;"""7062908""";22.01.2018;1551,66;0;310,33;1861,99
112;300044043;     ;"ОДО ""Валентина-М""";107;Продавец;Серафимович Ольга Константиновна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;300044043-2018-0000001533;;Исходный;Аннулирован;06.02.2018;22.01.2018;;22.01.2018;"""""";;;"""""";;"""""";"""""";;;"""Счет-договор №215""";19.01.2018;ТТН-1;ТТН-1;402961;ЮЛ;"""2127966""";22.01.2018;1350;0;270;1620
112;300044043;;"ОДО ""Валентина-М""";107;Продавец;Серафимович Ольга Константиновна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;300044043-2018-0000001959;300044043-2018-0000001533;Исправленный;Выставлен. Подписан получателем;13.02.2018;22.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""Счет-договор №215""";19.01.2018;ТТН-1;ТТН-1;402961;ЮЛ;"""2127966""";22.01.2018;1350;0;270;1620
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000086;;Исходный;Аннулирован;05.02.2018;20.01.2018;;20.01.2018;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7062905""";20.01.2018;1629,24;0;325,85;1955,09
112;300044043;     ;"ОДО ""Валентина-М""";107;Продавец;Серафимович Ольга Константиновна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;300044043-2018-0000001502;;Исходный;Выставлен. Подписан получателем;06.02.2018;20.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор №  101/03""";07.03.2017;ТТН-1;ТТН-1;402961;ЮЛ;"""2127954""";20.01.2018;530;0;106;636
112;192077474;;"ООО ""БиКрафтОйл""";109;Продавец;Ботян Ольга Александровна;112;691772248;     ;"ООО ""ХимПромОйл""";107;Покупатель; ;192077474-2018-0000000859;;Исходный;Выставлен. Подписан получателем;06.02.2018;19.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""1901""";25.08.2016;ТТН-1;;402961;ЮТ;"""0936924""";19.01.2018;3596,88;0;719,38;4316,26
112;700018342;;"ОАО ""Агрокомбинат ""Восход""";716;Продавец;Гладкина Елена Александровна;112;691772248;;"ООО ""ХимПроОйл""";107;Покупатель; ;700018342-2018-0000000490;;Исходный;Выставлен. Подписан получателем;02.02.2018;19.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""8/400""";29.06.2016;ТТН-1;ТТН-1;402961;ЮЭ;"""2435045""";19.01.2018;550;0;55;605
112;191471136;;"Общество с ограниченной ответственностью ""БелСпросШина""";111;Продавец;Храмцевич Дмитрий Валерьевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191471136-2018-0000003468;;Исходный;Выставлен. Подписан получателем;28.01.2018;18.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";14.11.2016;ТТН-1;;402961;ЮХ;"""2134880""";18.01.2018;1546,88;0;309,38;1856,26
112;200180562;     ;"Общество с ограниченной ответственностью ""Белинвестторг""";271;Продавец;Юсковец Татьяна Васильевна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;200180562-2018-0000001303;;Исходный;Выставлен. Подписан получателем;24.01.2018;18.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""834/17М""";18.08.2017;ТН-2;ТН-2;401951;ЖС;"""1620956""";18.01.2018;440;0;88;528
112;100371574;;"ЗАО ""БелСнабПодшипник""";109;Продавец;Козлов Александр Фёдорович;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;100371574-2018-0021800119;;Исходный;Выставлен. Подписан получателем;06.02.2018;17.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""№ ГО(14)-346 """;31.05.2017;ТТН-1;;402961;ЭУ;"""4734476""";17.01.2018;976,5;0;195,3;1171,8
112;190542056;;"ОАО ""Белорусская универсальная товарная биржа""";105;Продавец;Ахременко Денис Валерьевич;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190542056-2018-0000012593;;Исходный;Выставлен. Подписан получателем;08.02.2018;17.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""40620""";05.02.2016;Другое;Другое;;;"""O20180116152680""";17.01.2018;15;0;3;18
112;191559167;;"Частное торговое унитарное предприятие""ВИКО-Техно""";102;Продавец;Маняк Дмитрий Юрьевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191559167-2018-0000000325;;Исходный;Выставлен. Подписан получателем;31.01.2018;17.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""№ 289""";16.01.2018;ТТН-1;;402961;ЮХ;"""1265385""";17.01.2018;188,5;0;37,7;226,2
112;190635842;;ООО Смартон;104;Продавец;Виршич Дарья Михайловна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190635842-2018-0000006400;;Исходный;Выставлен. Подписан получателем;06.02.2018;17.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор №МИ00-00017838 от 18.10.2016""";18.10.2016;ТН-2;ТН;401951;ЮЯ;"""0867620""";17.01.2018;289,6;0;57,93;347,53
112;101310679;;"ООО ""ВИЛАНД"" РБ";109;Продавец;Журавлёва Юлия Станиславовна;112;691772248;     ;"ООО ""ХимПромОйл"" РБ";107;Покупатель; ;101310679-2018-0000000610;;Исходный;Выставлен. Подписан получателем;07.02.2018;17.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""7453""";15.01.2016;ТТН-1;;402961;ЮФ;"""3429540""";17.01.2018;495;0;99;594
112;600125053;;ОАО Завод горного воска;617;Продавец;Лудчинская Елена Николаевна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;600125053-2018-0000000263;;Исходный;Выставлен. Подписан получателем;31.01.2018;17.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""65""";17.01.2018;ТТН-1;;402961;ЮК;"""5366616""";17.01.2018;3006,89;0;601,38;3608,27
112;690314876;     ;"РУП ""Белоруснефть-Минскоблнефтепродукт""";606;Продавец;Неуступова Людмила Викторовна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;690314876-2018-0800001791;;Исходный;Выставлен. Подписан получателем;29.01.2018;17.01.2018;13.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""1061/2017""";19.10.2017;ТТН-1;Расходная накладная (нефтепродукты);402961;ЮФ;"""3870066""";17.01.2018;12079,78;0;2415,95;14495,73
112;700018342;;"ОАО ""Агрокомбинат ""Восход""";716;Продавец;Гладкина Елена Александровна;112;691772248;;"ООО ""ХимПроОйл""";107;Покупатель; ;700018342-2018-0000000462;;Исходный;Выставлен. Подписан получателем;02.02.2018;17.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""8/400""";29.06.2016;ТТН-1;ТТН-1;402961;ЮЭ;"""2434947""";17.01.2018;395;0;39,5;434,5
