
INVOICE;Исходный
"Код страны поставщика";УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;100005713;;"ООО ""ОМА""";102;Продавец;Мотуз Наталия Олеговна;112;100588821;;"НП ООО ""Эртекс""";105;Покупатель;" ";100005713-2018-0000057514;;Исходный;Выставлен. Подписан получателем;12-03-2018;23-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""999-0000011353/ДСП""";16.01.2018;ТН-2;ТН-2;401951;ЖУ;"""1511993""";2018-02-23;271,92;0,0;48,730;320,650
112;193005264;;"Торгово-производственное унитарное предприятие ""Колорпрокат""";106;Продавец;Гук Жанна Владимировна;112;100588821;;"НП ООО ""Эртекс""";105;Покупатель;" ";193005264-2018-0000002003;;Исходный;Выставлен. Подписан получателем;01-03-2018;23-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""1363""";25.01.2018;ТТН-1;;402961;ЮЯ;"""1482513""";2018-02-23;1128,5;0,0;225,700;1354,200
112;190243362;;"УП ""ПромЭкоПак""";107;Продавец;Шевцова Наталья Ивановна;112;100588821;;"НП ООО ""Эртекс""";105;Покупатель;" ";190243362-2018-0000000034;;Исходный;Выставлен. Подписан получателем;28-02-2018;22-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""1810""";18.10.2016;ТТН-1;;402961;ЮК;"""2128999""";2018-02-22;147,0;0,0;29,400;176,400
112;192173127;;"ООО ""МЕТАЛЛОПТСБЫТ""";105;Продавец;Богомазова Марина Михайловна;112;100588821;;"НП ООО ""Эртекс""";105;Покупатель;" ";192173127-2018-0000000176;;Исходный;Выставлен. Подписан получателем;19-02-2018;19-02-2018;02-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""511""";19.02.2018;ТТН-1;;402961;ЮЭ;"""5520625""";2018-02-19;124,13;0,0;24,830;148,960
112;190520948;;"ОДО ""КЭНВИ""";105;Посредник;Ходасевич Ольга Викторовна;112;100588821;;"НП ООО ""Эртекс""";105;Потребитель;" ";190520948-2018-0000000297;;Исходный;Выставлен. Подписан получателем;26-02-2018;19-02-2018;02-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""13/14""";04.04.2014;Акт выполненных работ;;;;"""131""";2018-02-19;49,35;0,0;9,870;59,220
112;191006598;;"ООО ""Внешевросервис""";111;Продавец;Овсянникова Татьяна Эдуардовна;112;100588821;;"Научно-производственное общество с ограниченной ответственностью ""Эртекс"" (НП ООО ""Эртекс"")";105;Покупатель;" ";191006598-2018-0000015189;;Исходный;Выставлен. Подписан получателем;03-03-2018;19-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000328-13-1240""";18.07.2013;Акт выполненных работ;Акт выполненных работ;;;"""00000010779""";2018-02-19;141,0;0,0;28,200;169,200
112;190520948;;"ОДО ""КЭНВИ""";105;Продавец;Ходасевич Ольга Викторовна;112;100588821;;"НП ООО ""Эртекс""";105;Покупатель;" ";190520948-2018-0000000298;;Исходный;Выставлен. Подписан получателем;26-02-2018;19-02-2018;02-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""13/14""";04.04.2014;Акт выполненных работ;;;;"""131""";2018-02-19;7,0;0,0;1,400;8,400
156;;"     ";TOP MAGNETICS LIMITED;;Иностранная организация;Жихар Александр Иванович;112;100588821;"     ";"НП ООО ""Эртекс"", РБ";105;Покупатель;" ";100588821-2018-0000000128;;Исходный;Выставлен. Подписан получателем;02-03-2018;17-02-2018;02-03-2018;;"""""";;;"""""";;"""05536/82008329""";"""""";;;"""16/09-I""";29.09.2016;Invoice (счет);;;;"""ТМ80206""";2018-02-05;33687,58;0,0;6737,520;0,000
112;101082637;"     ";"Общество с ограниченной ответственностью ""Стокфер""";111;Продавец;Ярусевич Ирина Михайловна;112;100588821;"     ";"НП ООО ""Эртекс""";105;Покупатель;" ";101082637-2018-0000000160;;Исходный;Выставлен. Подписан получателем;23-02-2018;15-02-2018;02-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор №95С""";14.02.2018;ТН-2;ТН-2;401951;ЖИ;"""1722237""";2018-02-15;36,0;0,0;7,200;43,200
112;191122655;;"ООО""БалтикИнокс""";108;Продавец;Игнатович Сергей Александрович;112;100588821;;"Научно-производственное общество с ограниченной ответственностью ""ЭРТЕКС""";105;Покупатель;" ";191122655-2018-0000013028;;Исходный;Выставлен. Подписан получателем;06-03-2018;13-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""167""";04.04.2011;ТТН-1;ТТН-1;402961;ЮЯ;"""2958559""";2018-02-13;72,06;0,0;14,410;86,470
