INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Код страны поставщика;УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;600052876;     ;"ГУП ""Солигорское ПМС""";621;Покупатель; ;691772248-2018-0000000750;;Исходный;Выставлен. Подписан получателем;05.03.2018;26.02.2018;20.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""634""";21.02.2018;ТТН-1;;402961;ЮЯ;"""0114920""";26.02.2018;1001,98;0;200,4;1202,38
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192598548;     ;ИП Сидорцов А. А.;613;Покупатель; ;691772248-2018-0000000744;;Исходный;Выставлен. Подписан получателем;05.03.2018;23.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""618""";21.02.2018;ТТН-1;;402961;ЮХ;"""0363029""";23.02.2018;121,5;0;24,3;145,8
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;191239047;     ;"ООО ""МАКРОИНЖИНИРИНГ""";112;Покупатель; ;691772248-2018-0000000743;;Исходный;Выставлен;05.03.2018;23.02.2018;;;"""""";;;"""""";;"""""";"""""";;;"""621""";21.02.2018;ТН-2;;401951;ИЭ;"""1705568""";23.02.2018;44,36;0;8,87;53,23
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;100308522;     ;"ОАО Трест 15 ""Спецстрой"" СУ-73";106;Покупатель; ;691772248-2018-0000000746;;Исходный;Выставлен. Подписан получателем;05.03.2018;23.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""12/03/А 17""";12.01.2017;ТТН-1;;402961;ЮХ;"""0363030""";23.02.2018;913,39;0;182,67;1096,06
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192987077;     ;"ООО ""Альфасад""";112;Покупатель; ;691772248-2018-0000000740;;Исходный;Выставлен. Подписан получателем;05.03.2018;23.02.2018;13.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""526""";13.02.2018;ТТН-1;;402961;ЮЯ;"""0114917""";23.02.2018;214,88;0;42,98;257,86
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;200166738;     ;"ОАО ""Барановичхлебопродукт""";241;Покупатель; ;691772248-2018-0000000742;;Исходный;Выставлен. Подписан получателем;05.03.2018;23.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""612""";20.02.2018;ТТН-1;;402961;ЮЯ;"""0114918""";23.02.2018;298,02;0;59,6;357,62
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;100258794;     ;"ООО ""Амкодор-Инвар""";112;Покупатель; ;691772248-2018-0000000741;;Исходный;Выставлен. Подписан получателем;05.03.2018;23.02.2018;07.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""613""";20.02.2018;ТТН-1;;402961;ЮЯ;"""0114916""";23.02.2018;1224,96;0;244,99;1469,95
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;102387091;     ;"Филиал СУ-25 ОАО ""МИНСКПРОМСТРОЙ""";102;Покупатель; ;691772248-2018-0000000745;;Исходный;Выставлен. Подписан получателем;05.03.2018;23.02.2018;19.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""611""";20.02.2018;ТТН-1;;402961;ЮЯ;"""0114915""";23.02.2018;853,9;0;170,78;1024,68
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690314876;     ;"РУП ""Белоруснефть-Минскоблнефтепродукт""  РБ";606;Покупатель; ;691772248-2018-0000000734;;Исходный;Выставлен. Подписан получателем;05.03.2018;22.02.2018;05.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""24/12-1/40""";24.12.2015;ТТН-1;;402961;ЮЯ;"""0114911""";22.02.2018;246,5;0;49,3;295,8
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;100843354;     ;"ЗАО ""ОБЪЕДИНЕННЫЕ ТЕХНОЛОГИИ""";102;Покупатель; ;691772248-2018-0000000738;;Исходный;Выставлен. Подписан получателем;05.03.2018;22.02.2018;05.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""05/06-2017""";05.06.2017;ТТН-1;;402961;ЮЯ;"""0114910""";22.02.2018;282,54;0;56,51;339,05
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;691180895;     ;"ЧП ""Стандарт-Авто Плюс""";604;Покупатель; ;691772248-2018-0000000739;;Исходный;Выставлен. Подписан получателем;05.03.2018;22.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""630""";21.02.2018;ТН-2;;401951;ИЭ;"""1705566""";22.02.2018;45,42;0;9,08;54,5
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192229374;     ;"ООО ""МетаБокс""";606;Покупатель; ;691772248-2018-0000000732;;Исходный;Выставлен. Подписан получателем;05.03.2018;22.02.2018;23.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""652""";22.02.2018;ТН-2;;401951;ИЭ;"""1705567""";22.02.2018;81,98;0;16,4;98,38
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690314876;     ;"РУП ""Белоруснефть-Минскоблнефтепродукт""  РБ";606;Покупатель; ;691772248-2018-0000000735;;Исходный;Выставлен. Подписан получателем;05.03.2018;22.02.2018;05.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""10-2017""";29.12.2017;ТТН-1;;402961;ЮЯ;"""0114912""";22.02.2018;986;0;197,2;1183,2
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;600047623;     ;"ЗАО ""НОВАЯ ВЕСКА""";623;Покупатель; ;691772248-2018-0000000737;;Исходный;Выставлен. Подписан получателем;05.03.2018;22.02.2018;07.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""617""";20.02.2018;ТН-2;;401951;ИЭ;"""1705565""";22.02.2018;65,5;0;13,1;78,6
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690314876;     ;"РУП ""Белоруснефть-Минскоблнефтепродукт""  РБ";606;Покупатель; ;691772248-2018-0000000733;;Исходный;Выставлен. Подписан получателем;05.03.2018;22.02.2018;05.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""24/12-1/40""";24.12.2015;ТТН-1;;402961;ЮЯ;"""0114909""";22.02.2018;197,2;0;39,44;236,64
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192077474;     ;"OOO ""БиКрафтОйл""";109;Покупатель; ;691772248-2018-0000000780;;Дополнительный без ссылки;Выставлен. Подписан получателем;12.03.2018;22.02.2018;16.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""1901""";25.08.2016;ТТН-1;;402961;ЮЭ;"""3021102""";22.02.2018;-1300;0;-260;-1560
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;491316421;     ;"ООО ""ГрандОЙЛ """;432;Покупатель; ;691772248-2018-0000000731;;Исходный;Выставлен. Подписан получателем;05.03.2018;22.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""527/17""";11.12.2017;ТТН-1;;402961;ЮЯ;"""0114914""";22.02.2018;12251,94;0;2450,39;14702,33
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690314876;     ;"РУП ""Белоруснефть-Минскоблнефтепродукт""  РБ";606;Покупатель; ;691772248-2018-0000000736;;Исходный;Выставлен. Подписан получателем;05.03.2018;22.02.2018;05.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""10-2017""";29.12.2017;ТТН-1;;402961;ЮЯ;"""0114913""";22.02.2018;1479;0;295,8;1774,8
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;100315395;     ;"УМ УП ""МИНСКМЕТРОСТРОЙ""";102;Покупатель; ;691772248-2018-0000000726;;Исходный;Выставлен. Подписан получателем;05.03.2018;21.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""629""";21.02.2018;ТТН-1;;402961;ЮЯ;"""0114906""";21.02.2018;122,52;0;24,5;147,02
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192749400;     ;"ООО ""Экоспецресурс""";109;Покупатель; ;691772248-2018-0000000730;;Исходный;Выставлен. Подписан получателем;05.03.2018;21.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""07/07-16""";07.07.2016;ТТН-1;;402961;ЮЯ;"""0114905""";21.02.2018;537,6;0;107,52;645,12
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192348668;     ;"ООО ""БСК-Энерго""";106;Покупатель; ;691772248-2018-0000000724;;Исходный;Выставлен;05.03.2018;21.02.2018;;;"""""";;;"""""";;"""""";"""""";;;"""626""";21.02.2018;ТН-2;;401951;ИЭ;"""1705563""";21.02.2018;45,42;0;9,08;54,5
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;100320367;     ;"Завод ЖБИ УП ""МИНСКМЕТРОСТРОЙ""";102;Покупатель; ;691772248-2018-0000000725;;Исходный;Выставлен. Подписан получателем;05.03.2018;21.02.2018;20.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""12/06-17""";12.06.2017;ТТН-1;;402961;ЮЯ;"""0114907""";21.02.2018;97,5;0;19,5;117
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;100205819;     ;"ООО ""Пуми-С""";106;Покупатель; ;691772248-2018-0000000727;;Исходный;Выставлен. Подписан получателем;05.03.2018;21.02.2018;07.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""632""";21.02.2018;ТТН-1;;402961;ЮЯ;"""0114908""";21.02.2018;745,6;0;149,12;894,72
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;192758832;     ;ИП Степаненко Александр Михайлович;102;Покупатель; ;691772248-2018-0000000728;;Исходный;Выставлен. Подписан получателем;05.03.2018;21.02.2018;07.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""622""";21.02.2018;ТН-2;;401951;ИЭ;"""1705564""";21.02.2018;45,29;0;9,06;54,35
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;490940863;     ;ИП Тороп А.В.;415;Покупатель; ;691772248-2018-0000000729;;Исходный;Выставлен. Подписан получателем;05.03.2018;21.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""467""";07.02.2018;ТТН-1;;402961;ЮЯ;"""0114904""";21.02.2018;4300,26;0;860,05;5160,31
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;691499530;     ;"ООО ""ИнтерГруппАвтоЗапчасти""";603;Покупатель; ;691772248-2018-0000000717;;Исходный;Выставлен. Подписан получателем;05.03.2018;20.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""09/10-3""";09.10.2014;ТТН-1;;402961;ЮЯ;"""0405895""";20.02.2018;148,18;0;29,64;177,82
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;100315395;     ;"УМ УП ""МИНСКМЕТРОСТРОЙ""";102;Покупатель; ;691772248-2018-0000000723;;Исходный;Выставлен. Подписан получателем;05.03.2018;20.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""610""";20.02.2018;ТТН-1;;402961;ЮЯ;"""0405899""";20.02.2018;507,26;0;101,45;608,71
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690679676;     ;"ООО ""Автоборисов""";603;Покупатель; ;691772248-2018-0000000777;691772248-2018-0000000508;Дополнительный;Выставлен. Подписан получателем;07.03.2018;20.02.2018;15.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""09/10-1""";09.10.2014;ТТН-1;;402961;ЮХ;"""0363004""";26.01.2018;-88,44;0;-17,69;-106,13
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;690679423;     ;ИП Еременко С. А.;603;Покупатель; ;691772248-2018-0000000715;;Исходный;Выставлен. Подписан получателем;05.03.2018;20.02.2018;15.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""21/10-1""";21.10.2014;ТТН-1;;402961;ЮЯ;"""0405897""";20.02.2018;39,9;0;7,98;47,88
112;691772248;     ;"ООО ХимПромОил""";107;Продавец;Римша Александр Николаевич;112;691499530;     ;"ООО ""ИнтерГруппАвтоЗапчасти""";603;Покупатель; ;691772248-2018-0000000718;;Исходный;Выставлен. Подписан получателем;05.03.2018;20.02.2018;06.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""09/10-3""";09.10.2014;ТТН-1;;402961;ЮЯ;"""0405896""";20.02.2018;173,59;0;34,72;208,31
